Date,NDVI_MODIS,NDVI_Landsat7,NDVI_Landsat8,NDSI_Snow_Cover,SnowFree,SnowFree_Interp,NDVI_MODIS_Interp,Snow,DSSM,NDVI
2008-01-01,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-02,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-03,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-04,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-05,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-06,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-07,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-08,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-09,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-10,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-11,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-12,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-13,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-14,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-15,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-16,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-17,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-18,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-19,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-20,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-21,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-22,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
2008-01-23,-0.035,,,,0.0,1,0,0.0,0.0,0.010197445672669121
